QID,Label,Description
Q31,Belgium,country in western Europe
Q45,Portugal,country in southwestern Europe
Q75,Internet,global system of connected computer networks
Q148,People's Republic of China,sovereign state in East Asia
Q155,Brazil,country in South America
Q183,Germany,country in Central Europe
Q233,Malta,sovereign state in Southern Europe situated on an archipelago in the Mediterranean Sea
Q298,Chile,sovereign state in South America
Q328,English Wikipedia,English-language edition of Wikipedia
Q362,World War II,1939–1945 global war between the Allied and Axis Powers
Q398,Bahrain,sovereign state in Southwest Asia
Q431,zoology,study of the animal kingdom
Q514,anatomy,study of the structure and parts of organisms
Q676,prose,form of language which applies ordinary grammatical structure and natural flow of speech
Q686,Vanuatu,sovereign state situated on an archipelago in the South Pacific Ocean
Q801,Israel,sovereign state in western Asia
Q819,Laos,sovereign state in Southeast Asia
Q863,Tajikistan,sovereign state in Central Asia
Q869,Thailand,sovereign state in Southeast Asia
Q878,United Arab Emirates,sovereign state in Southwest Asia
Q901,scientist,person who conducts scientific research into an area of interest
Q912,Mali,sovereign state in West Africa
Q916,Angola,sovereign state in Africa
Q1044,Sierra Leone,sovereign state in West Africa
Q1049,Sudan,sovereign state in Northeast Africa
Q1071,geography,"science that studies the terrestrial surface, the societies that inhabit it and the territories, landscapes, places or regions that form it when interacting with each other"
Q1183,Puerto Rico,unincorporated territory of the United States
Q1204,Illinois,state of the United States of America
Q1455,field hockey,team sport version of hockey played on grass or turf with sticks and a round ball
Q1487,hacker,computing term with a variety of meanings
Q1489,Mexico City,capital city of Mexico
Q1533,Caracas,"capital and centre of the Greater Caracas Area, Venezuela"
Q1860,English,West Germanic language originating in England
Q2003,Newfoundland and Labrador,province of Canada
Q2019,2005,year
Q2065,1993,year
Q2070,1996,year
Q2073,Komi Republic,"federal subject of Russia, republic of Russia"
Q2423,Yaroslavl,city in the center of European Russia
Q2644,1968,year
Q3503,Congo,river in central Africa
Q3586,East Java,"province of Indonesia, on island of Java"
Q3769,French Guiana,overseas French department in the Guianas region
Q3908,Galicia,autonomous community of Spain
Q4280,Democratic Party,political party in Spain
Q4290,investment,set of actions with the intent of earning profit
Q5221,1956,year
Q5386,auto racing,motorsport involving the racing of cars for competition
Q5710,Republic of Bashkortostan,republic and federal subject of Russia
Q5713,Mary,city of Mary Province in Turkmenistan
Q5813,Canary Islands,autonomous community of Spain
Q5849,rugby union,"15-a-side team sport, code of rugby football"
Q6010,rapping,vocal technique used with spoken or chanted rhyming lyrics
Q6388,swimming,self propulsion of a person through water or other liquid
Q6654,Croatian,South Slavic language
Q7150,ecology,scientific study of the relationships between living organisms
Q7162,genetics,"study of genes, heredity, and variation in living organisms"
Q7183,Qin dynasty,the first imperial dynasty of China ruling from 221 to 206 BC
Q7270,republic,form of government where the head of state is elected
Q7318,Nazi Germany,Germany from 1933 to 1945 while under control of the Nazi Party
Q7320,National Socialist German Workers' Party,Adolf Hitler's far-right fascist party in Germany between 1920 and 1945
Q7560,mother,female parent
Q7856,rallying,"form of motorsport where modified or specially built road-legal compete not on a circuit, but instead in a point-to-point format"
Q7918,Bulgarian,South Slavic language
Q7922,pedagogy,study of education
Q8341,jazz,"musical style, genre, and theory"
Q8458,human rights,inalienable fundamental rights to which a person is inherently entitled
Q8758,2006 Venezuelan presidential election,presidential election of Venezuela
Q9174,religion,"set of beliefs, practices and traditions for a group or community"
Q9337,Flemish Region,federal region of Belgium
